Id,Status
0,1
1,0
2,0
3,1
4,0
5,1
6,1
7,1
8,1
9,1
10,1
11,0
12,0
13,1
14,0
15,1
16,1
17,0
18,1
19,0
20,1
21,0
22,1
23,1
24,1
25,1
26,0
27,0
28,0
29,0
30,0
31,1
32,0
33,0
34,1
35,0
36,0
37,1
38,0
39,1
40,0
41,0
42,1
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,1
51,0
52,0
53,0
54,0
55,1
56,0
57,1
58,1
59,1
60,1
61,0
62,1
63,0
64,0
65,1
66,1
67,0
68,0
69,1
70,0
71,0
72,0
73,1
74,1
75,1
76,0
77,1
78,1
79,0
80,1
81,0
82,0
83,0
84,0
85,1
86,0
87,0
88,1
89,0
90,1
91,1
92,1
93,0
94,0
95,1
96,0
97,1
98,1
99,0
100,0
101,1
102,0
103,0
104,0
105,1
106,1
107,1
108,0
109,0
110,0
111,1
112,1
113,0
114,1
115,1
116,0
117,0
118,0
119,0
120,1
121,0
122,0
123,1
124,0
125,0
126,0
127,1
128,0
129,0
130,0
131,0
132,0
133,1
134,1
135,0
136,0
137,0
138,1
139,0
140,1
141,0
142,0
143,1
144,0
145,0
146,1
147,1
148,1
149,0
150,0
151,0
152,0
153,1
154,0
155,0
156,0
157,0
158,1
159,1
160,1
161,1
162,1
163,1
164,0
165,1
166,0
167,0
168,0
169,1
170,0
171,0
172,1
173,0
174,0
175,0
176,0
177,0
178,1
179,0
180,0
181,1
182,0
183,1
184,0
185,0
186,1
187,0
188,0
189,0
190,0
191,0
192,1
193,0
194,0
195,0
196,1
197,0
198,0
199,0
200,1
201,0
202,0
203,0
204,1
205,0
206,0
207,0
208,1
209,0
210,1
211,1
212,0
213,1
214,1
215,0
216,0
217,1
218,0
219,0
220,0
221,1
222,0
223,0
224,0
225,0
226,1
227,1
228,0
229,1
230,1
231,1
232,0
233,0
234,1
235,0
236,1
237,1
238,0
239,0
240,1
241,0
242,0
243,0
244,1
245,0
246,0
247,1
248,0
249,0
250,1
251,0
252,0
253,0
254,1
255,1
256,0
257,1
258,1
259,0
260,1
261,1
262,1
263,0
264,1
265,0
266,0
267,0
268,0
269,1
270,0
271,1
272,0
273,0
274,1
275,1
276,0
277,0
278,1
279,1
280,0
281,0
282,1
283,1
284,1
285,0
286,0
287,0
288,0
289,1
290,0
291,0
292,0
293,0
294,1
295,1
296,0
297,0
298,0
299,1
300,0
301,1
302,0
303,0
304,0
305,1
306,0
307,0
308,0
309,0
310,1
311,1
312,0
313,0
314,1
315,0
316,0
317,1
318,0
319,0
320,1
321,0
322,0
323,0
324,1
325,1
326,1
327,0
328,1
329,0
330,1
331,0
332,1
333,1
334,1
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,1
345,0
346,1
347,1
348,1
349,0
350,1
351,1
352,1
353,0
354,1
355,0
356,1
357,1
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,1
366,0
367,0
368,1
369,0
370,0
371,0
372,0
373,1
374,0
375,0
376,1
377,0
378,0
379,1
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,1
389,0
390,1
391,0
392,1
393,1
394,0
395,1
396,0
397,1
398,0
399,1
400,1
401,1
402,1
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,1
416,1
417,1
418,0
419,0
420,0
421,1
422,1
423,0
424,1
425,1
426,0
427,0
428,1
429,1
430,0
431,1
432,1
433,1
434,1
435,0
436,0
437,0
438,0
439,0
440,1
441,1
442,1
443,0
444,0
445,1
446,1
447,0
448,1
449,0
450,0
451,0
452,1
453,0
454,0
455,0
456,0
457,0
458,1
459,0
460,0
461,0
462,1
463,1
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,1
475,0
476,0
477,1
478,0
479,0
480,0
481,1
482,0
483,1
484,1
485,1
486,0
487,0
488,1
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,1
497,0
498,0
499,0
500,0
501,1
502,0
503,0
504,0
505,0
506,0
507,1
508,1
509,0
510,0
511,0
512,0
513,1
514,1
515,0
516,1
517,0
518,1
519,0
520,0
521,0
522,0
523,0
524,1
525,1
526,1
527,0
528,0
529,1
530,1
531,1
532,1
533,0
534,1
535,0
536,1
537,0
538,0
539,1
540,0
541,0
542,0
543,0
544,1
545,1
546,0
547,1
548,0
549,0
550,1
551,0
552,0
553,0
554,1
555,0
556,0
557,0
558,1
559,0
560,1
561,0
562,1
563,0
564,1
565,0
566,1
567,0
568,1
569,0
570,1
571,1
572,1
573,0
574,0
575,1
576,0
577,1
578,0
579,0
580,0
581,1
582,0
583,0
584,0
585,1
586,1
587,0
588,0
589,1
590,0
591,0
592,1
593,1
594,0
595,1
596,1
597,0
598,1
599,1
600,0
601,1
602,1
603,1
604,0
605,0
606,1
607,1
608,0
609,1
610,0
611,0
612,0
613,1
614,0
615,1
616,0
617,1
618,0
619,1
620,0
621,0
622,0
623,1
624,0
625,1
626,1
627,1
628,0
629,0
630,0
631,0
632,1
633,1
634,0
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,0
643,0
644,1
645,0
646,0
647,1
648,1
649,1
650,0
651,0
652,1
653,0
654,0
655,1
656,1
657,0
658,0
659,1
660,1
661,1
662,0
663,0
664,1
665,1
666,1
667,0
668,0
669,0
670,1
671,0
672,0
673,1
674,0
675,0
676,0
677,1
678,0
679,1
680,0
681,0
682,0
683,1
684,0
685,0
686,0
687,0
688,1
689,1
690,1
691,1
692,1
693,1
694,0
695,1
696,1
697,1
698,0
699,0
700,1
701,0
702,1
703,1
704,1
705,1
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,1
718,1
719,1
720,0
721,1
722,0
723,1
724,0
725,1
726,1
727,0
728,1
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,1
737,1
738,0
739,1
740,1
741,1
742,0
743,1
744,0
745,0
746,0
747,0
748,1
749,0
750,0
751,1
752,1
753,0
754,0
755,0
756,0
757,1
758,1
759,1
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,1
768,1
769,0
770,1
771,0
772,1
773,1
774,0
775,0
776,0
777,1
778,1
779,0
780,1
781,0
782,1
783,0
784,0
785,0
786,1
787,1
788,1
789,0
790,1
791,1
792,0
793,0
794,0
795,0
796,1
797,0
798,0
799,0
800,1
801,0
802,0
803,0
804,1
805,0
806,0
807,0
808,1
809,0
810,0
811,1
812,1
813,1
814,1
815,0
816,0
817,1
818,0
819,1
820,0
821,1
822,1
823,0
824,1
825,0
826,1
827,1
828,1
829,1
830,0
831,1
832,0
833,1
834,1
835,0
836,0
837,1
838,1
839,1
840,1
841,0
842,1
843,0
844,0
845,0
846,0
847,0
848,0
849,1
850,1
851,0
852,1
853,0
854,0
855,0
856,0
857,0
858,1
859,1
860,0
861,1
862,0
863,1
864,1
865,1
866,1
867,0
868,0
869,0
870,1
871,1
872,1
873,0
874,0
875,1
876,0
877,0
878,1
879,1
880,0
881,1
882,0
883,0
884,1
885,0
886,1
887,1
888,1
889,0
890,1
891,0
892,1
893,0
894,0
895,0
896,1
897,1
898,0
899,0
900,0
901,0
902,0
903,0
904,1
905,0
906,1
907,0
908,1
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,1
920,1
921,1
922,0
923,1
924,0
925,0
926,0
927,0
928,0
929,1
930,0
931,0
932,1
933,1
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,1
943,0
944,0
945,1
946,0
947,1
948,0
949,1
950,1
951,0
952,1
953,0
954,1
955,1
956,0
957,0
958,0
959,0
960,0
961,1
962,0
963,1
964,0
965,0
966,0
967,0
968,1
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,1
978,0
979,0
980,0
981,1
982,0
983,1
984,1
985,1
986,0
987,0
988,1
989,1
990,0
991,0
992,1
993,0
994,0
995,1
996,0
997,1
998,0
999,1
1000,0
1001,0
1002,0
1003,0
1004,1
1005,0
1006,0
1007,1
1008,1
1009,0
1010,1
1011,1
1012,1
1013,0
1014,1
1015,1
1016,1
1017,0
1018,0
1019,0
1020,0
1021,0
1022,1
1023,1
1024,1
1025,0
1026,1
1027,1
1028,0
1029,0
1030,1
1031,0
1032,1
1033,0
1034,0
1035,0
1036,1
1037,0
1038,0
1039,1
1040,1
1041,0
1042,1
1043,0
1044,1
1045,0
1046,0
1047,0
1048,0
1049,0
1050,1
1051,1
1052,0
1053,1
1054,0
1055,1
1056,0
1057,0
1058,0
1059,0
1060,0
1061,0
1062,0
1063,1
1064,0
1065,1
1066,0
1067,0
1068,0
1069,0
1070,0
1071,1
1072,1
1073,1
1074,0
1075,0
1076,1
1077,0
1078,0
1079,1
1080,0
1081,1
1082,1
1083,1
1084,0
1085,1
1086,0
1087,0
1088,1
1089,0
1090,0
1091,0
1092,1
1093,0
1094,1
1095,0
1096,0
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,1
1108,1
1109,1
1110,0
1111,0
1112,1
1113,0
1114,1
1115,0
1116,0
1117,1
1118,0
1119,0
1120,0
1121,0
1122,0
1123,1
1124,1
1125,0
1126,1
1127,1
1128,1
1129,0
1130,1
1131,1
1132,0
1133,0
1134,0
1135,1
1136,1
1137,1
1138,0
1139,0
1140,0
1141,0
1142,1
1143,1
1144,1
1145,1
1146,0
1147,0
1148,0
1149,0
1150,0
1151,0
1152,0
1153,1
1154,1
1155,0
1156,0
1157,0
1158,0
1159,1
1160,0
1161,1
1162,0
1163,0
1164,1
1165,1
1166,1
1167,1
1168,0
1169,0
1170,0
1171,0
1172,1
1173,0
1174,0
1175,0
1176,1
1177,1
1178,0
1179,1
1180,0
1181,0
1182,1
1183,0
1184,0
1185,0
1186,0
1187,0
1188,1
1189,1
1190,1
1191,0
1192,0
1193,0
1194,1
1195,1
1196,0
1197,0
1198,1
1199,0
1200,0
1201,1
1202,1
1203,0
1204,0
1205,1
1206,1
1207,0
1208,1
1209,0
1210,1
1211,0
1212,0
1213,1
1214,1
1215,0
1216,0
1217,0
1218,1
1219,0
1220,1
1221,0
1222,1
1223,1
1224,0
1225,1
1226,0
1227,0
1228,0
1229,1
